
Country Name, Tons Exported, End in the Ocean, End in the beach, 
,,,,Tons to Haiti, 7.0,
,,,,Tons to Brazil, 6.0,
,,,,Tons to Portugal, 6.0,
,,,,Tons to Norway, 5.0,
,,,,Tons to Liberia, 5.0,
,,,,Tons to Honduras, 5.0,
,,,,Tons to Trinidad and Tobago, 5.0,
,,,,Tons to Spain, 4.0,
,,,,Tons to Panama, 4.0,
,,,,Tons to French Guiana, 4.0,
,,,,Tons to Cape Verde, 4.0,
,,,,Tons to Costa Rica, 3.0,
,,,,Tons to Morocco, 3.0,
,,,,Tons to Guadeloupe, 3.0,
,,,,Tons to Côte d'Ivoire, 3.0,
,,,,Tons to Ireland, 2.0,
,,,,Tons to Bahamas, 2.0,
,,,,Tons to Puerto Rico, 2.0,
,,,,Tons to Turks and Caicos Islands, 2.0,
,,,,Tons to Germany, 2.0,
,,,,Tons to Russia, 2.0,
,,,,Tons to Benin, 1.0,
,,,,Tons to Dominica, 1.0,
,,,,Tons to Algeria, 1.0,
,,,,Tons to Suriname, 1.0,
,,,,Tons to Martinique, 1.0,
,,,,Tons to Denmark, 1.0,
,,,,Tons to Jamaica, 1.0,
,,,,Tons to Western Sahara, 1.0,
,,,,Tons to Italy, 1.0,
,,,,Tons to Isle of Man, 0.0,
,,,,Tons to Guinea-Bissau, 0.0,
,,,,Tons to Colombia, 0.0,
,,,,Tons to Netherlands, 0.0,
,,,,Tons to Sweden, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
cambodia, 1177, 239.0, 937.0 
,,,,Tons to Thailand, 435.0,From Thailand, 12922.0,
,,,,Tons to Cambodia, 239.0,From Vietnam, 6856.0,
,,,,Tons to Vietnam, 142.0,From Philippines, 4145.0,
,,,,Tons to Indonesia, 41.0,From China, 1947.0,
,,,,Tons to Malaysia, 26.0,From Cambodia, 239.0,
,,,,Tons to Myanmar, 19.0,From Malaysia, 229.0,
,,,,Tons to Philippines, 14.0,From Taiwan, 211.0,
,,,,Tons to China, 6.0,From Indonesia, 89.0,
,,,,Tons to Madagascar, 3.0,From Hong Kong, 33.0,
,,,,Tons to Yemen, 3.0,From Nicaragua, 17.0,
,,,,Tons to Bangladesh, 2.0,From Solomon Islands, 10.0,
,,,,Tons to Taiwan, 1.0,From Papua New Guinea, 10.0,
,,,,Tons to Saudi Arabia, 1.0,From Guatemala, 7.0,
,,,,Tons to Mozambique, 1.0,From Mexico, 6.0,
,,,,Tons to Sri Lanka, 1.0,From El Salvador, 5.0,
,,,,Tons to Hong Kong, 1.0,From Costa Rica, 3.0,
,,,,Tons to Japan, 1.0,From Peru, 3.0,
,,,,Tons to Tanzania, 1.0,From Japan, 2.0,
,,,,Tons to India, 1.0,From United States, 2.0,
,,,,,,From South Korea, 2.0,
,,,,,,From Panama, 1.0,
,,,,,,From Brunei, 0.0,
,,,,,,From Samoa, 0.0,
,,,,,,From Fiji, 0.0,
,,,,,,From Yemen, 0.0,
,,,,,,From Micronesia, 0.0,
,,,,,,From Colombia, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
cameroon, 26416, 33.0, 26383.0 
,,,,Tons to Cameroon, 26294.0,From Nigeria, 105409.0,
,,,,Tons to Nigeria, 66.0,From Cameroon, 26294.0,
,,,,Tons to Gabon, 18.0,From Equatorial Guinea, 1991.0,
,,,,Tons to Equatorial Guinea, 4.0,From Angola, 1809.0,
,,,,Tons to Republic of Congo, 1.0,From Gabon, 548.0,
,,,,Tons to Central African Republic, 0.0,From Republic of Congo, 536.0,
,,,,,,From São Tomé and Príncipe, 345.0,
,,,,,,From Ghana, 228.0,
,,,,,,From Benin, 91.0,
,,,,,,From Democratic Republic of the Congo, 15.0,
,,,,,,From Togo, 14.0,
,,,,,,From Namibia, 6.0,
,,,,,,From South Africa, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
canada, 249, 82.0, 167.0 
,,,,Tons to Canada, 112.0,From United States, 609.0,
,,,,Tons to United States, 25.0,From Philippines, 487.0,
,,,,Tons to France, 10.0,From China, 485.0,
,,,,Tons to United Kingdom, 6.0,From Canada, 112.0,
,,,,Tons to Spain, 3.0,From Russia, 96.0,
,,,,Tons to Portugal, 3.0,From Taiwan, 46.0,
,,,,Tons to Norway, 2.0,From Japan, 43.0,
,,,,Tons to Ireland, 2.0,From North Korea, 14.0,
,,,,Tons to Denmark, 1.0,From Netherlands, 14.0,
,,,,Tons to Germany, 1.0,From United Kingdom, 10.0,
,,,,Tons to Morocco, 1.0,From Hong Kong, 8.0,
,,,,Tons to Cuba, 1.0,From Vietnam, 6.0,
,,,,Tons to Svalbard and Jan Mayen, 0.0,From Indonesia, 5.0,
,,,,Tons to Iceland, 0.0,From South Korea, 5.0,
,,,,Tons to Netherlands, 0.0,From Malaysia, 5.0,
,,,,Tons to Haiti, 0.0,From Nicaragua, 5.0,
,,,,Tons to Sweden, 0.0,From Haiti, 4.0,
