""
"Indicator name: Beach litter originating from national land-based sources ends in the beach (tonnes)  Data Source: Florida State University(https://FSU.edu), Center for Ocean-Atmospheric Prediction Studies (COAPS)(https://www.coaps.fsu.edu/our-expertise/global-model-for-marine-litter)"
"Description: The indicator includes 14.1.1a Index of coastal eutrophication (ICEP) and 14.1.1b Plastic debris density. SDG 14.1.1a and SDG 14.1.1b will described as two indicators. Across the 14.1.1a and 14.1.1b, two levels are proposed: "
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Senegal","2020","20062.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Senegal","2021","22147.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Seychelles","2017","20.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Seychelles","2018","22.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Seychelles","2019","23.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Seychelles","2020","21.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Seychelles","2021","22.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sierra Leone","2017","21909.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sierra Leone","2018","22893.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sierra Leone","2019","23826.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sierra Leone","2020","24562.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sierra Leone","2021","24860.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Solomon Islands","2017","23945.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Solomon Islands","2018","24806.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Solomon Islands","2019","27939.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Solomon Islands","2020","28514.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Solomon Islands","2021","30405.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Somalia","2017","2064.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Somalia","2018","2136.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Somalia","2019","2371.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Somalia","2020","2151.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Somalia","2021","2296.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","South Africa","2017","22487.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","South Africa","2018","24281.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","South Africa","2019","30352.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","South Africa","2020","31931.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","South Africa","2021","31862.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Spain","2017","5137.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Spain","2018","4962.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Spain","2019","5708.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Spain","2020","5827.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Spain","2021","6288.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sri Lanka","2017","37725.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sri Lanka","2018","39160.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sri Lanka","2019","41648.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sri Lanka","2020","40800.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sri Lanka","2021","45035.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sudan","2017","10176.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sudan","2018","10679.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sudan","2019","11308.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sudan","2020","11249.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sudan","2021","11847.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Suriname","2017","10450.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Suriname","2018","11657.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Suriname","2019","11589.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Suriname","2020","10135.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Suriname","2021","11041.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sweden","2017","533.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sweden","2018","471.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sweden","2019","514.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sweden","2020","587.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sweden","2021","546.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Syrian Arab Republic","2017","3010.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Syrian Arab Republic","2018","2792.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Syrian Arab Republic","2019","3019.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Syrian Arab Republic","2020","3197.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Syrian Arab Republic","2021","3339.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Thailand","2017","288247.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Thailand","2018","326310.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Thailand","2019","338682.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Thailand","2020","345754.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Thailand","2021","349148.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Timor-Leste","2017","5179.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Timor-Leste","2018","5810.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Timor-Leste","2019","6238.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Timor-Leste","2020","6094.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Timor-Leste","2021","6093.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Togo","2017","29260.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Togo","2018","30301.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Togo","2019","31773.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Togo","2020","32647.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Togo","2021","33189.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tonga","2017","229.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tonga","2018","236.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tonga","2019","246.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tonga","2020","251.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tonga","2021","232.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Trinidad and Tobago","2017","31615.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Trinidad and Tobago","2018","32188.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Trinidad and Tobago","2019","35244.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Trinidad and Tobago","2020","33384.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Trinidad and Tobago","2021","35383.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tunisia","2017","90765.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tunisia","2018","87293.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tunisia","2019","89175.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tunisia","2020","99877.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Tunisia","2021","96337.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Turkey","2017","336150.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Turkey","2018","377678.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Turkey","2019","354437.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Turkey","2020","404409.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Turkey","2021","392369.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ukraine","2017","20963.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ukraine","2018","27860.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ukraine","2019","25859.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ukraine","2020","28229.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ukraine","2021","26622.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Arab Emirates","2017","2450.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Arab Emirates","2018","2599.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Arab Emirates","2019","2659.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Arab Emirates","2020","2744.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Arab Emirates","2021","2798.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Kingdom of Great Britain and Northern Ireland","2017","6695.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Kingdom of Great Britain and Northern Ireland","2018","6359.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Kingdom of Great Britain and Northern Ireland","2019","6242.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Kingdom of Great Britain and Northern Ireland","2020","6821.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Kingdom of Great Britain and Northern Ireland","2021","6500.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Republic of Tanzania","2017","115062.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Republic of Tanzania","2018","115288.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Republic of Tanzania","2019","114736.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Republic of Tanzania","2020","111054.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United Republic of Tanzania","2021","120901.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United States of America","2017","15630.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United States of America","2018","16437.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United States of America","2019","16909.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United States of America","2020","17131.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","United States of America","2021","17744.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Uruguay","2017","77417.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Uruguay","2018","86096.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Uruguay","2019","94544.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Uruguay","2020","110834.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Uruguay","2021","120598.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Vanuatu","2017","868.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Vanuatu","2018","841.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Vanuatu","2019","997.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Vanuatu","2020","975.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Vanuatu","2021","931.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Venezuela (Bolivarian Republic of)","2017","209928.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Venezuela (Bolivarian Republic of)","2018","224320.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Venezuela (Bolivarian Republic of)","2019","231129.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Venezuela (Bolivarian Republic of)","2020","227809.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Venezuela (Bolivarian Republic of)","2021","240071.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Viet Nam","2017","421669.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Viet Nam","2018","449326.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Viet Nam","2019","484452.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Viet Nam","2020","493432.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Viet Nam","2021","499309.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Yemen","2017","30194.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Yemen","2018","34205.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Yemen","2019","35625.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Yemen","2020","36032.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Yemen","2021","36954.00"
